"Reference","Qty","Value"
"BASS_CTRL1,MASTER1,SUSTAIN1,TONE1","4","B100k"
"C1","1","220u"
"C2,C4,C7,C8,C15,C21,C23,C24","8","100n"
"C5,C6","2","47u"
"C9,C12,C16,C25","4","4u7"
"C10,C13,C17","3","470p"
"C11,C14,C19,C20,C22","5","4n7"
"C18","1","22n"
"D1","1","1N5817"
"D2","1","LED"
"D3,D4,D5,D6,D7,D8,D9,D10","8","1N4148"
"R2","1","47R"
"R3,R4,R13,R19,R25","5","470k"
"R5","1","51R"
"R6,R7","2","1M"
"R8,R24","2","390R"
"R9","1","133k"
"R10,R14,R21,R26,R32,R_LED1","6","4k7"
"R11,R18,R20,R28,R34,R35","6","10k"
"R12","1","1k"
"R15,R22","2","47k"
"R16,R17,R23,R27","4","100k"
"R29","1","33k"
"R30","1","100R"
"R33","1","240k"
"SCOOP1","1","B50k"
"SW1","1","SW_DPDT_x3"
"SW2","1","SW_DPDT_x2"
"U1,U2","2","TL074"
"VOLUME1","1","A100k"
